AREA (KM2)	VOLUME (HM3)	VOLUME (M3)	Afluência (m³/s)	Defluência (m³/s)
121.2670131	5197.89751	5197897510	607.54	869
120.7324492	5169.847146	5169847146	572.28	932
120.1331762	5138.417089	5138417089	518.72	934
120.3548688	5150.042238	5150042238	496.19	333
120.7546874	5171.013795	5171013795	472.9	206
119.867549	5124.491129	5124491129	389.01	997
118.9853023	5078.261761	5078261761	373.71	967
118.3049161	5042.635124	5042635124	361.93	797
117.5620453	5003.762113	5003762113	360.1	852
116.7142444	4959.431148	4959431148	351.76	916
116.2812591	4936.804253	4936804253	364.47	661
116.3245033	4939.063686	4939063686	346.24	318
115.4619111	4894.012351	4894012351	363.19	928
114.3263892	4834.763471	4834763471	335.44	1080
113.156915	4773.811819	4773811819	302.48	1060
111.6395983	4694.837001	4694837001	281.53	1260
110.6157765	4641.617017	4641617017	292.13	950
110.1999297	4620.016695	4620016695	295.91	562
110.220694	4621.095033	4621095033	281.08	268
109.2273293	4569.533689	4569533689	262.22	890
108.1178828	4512.011346	4512011346	235.53	939
107.3015708	4469.731381	4469731381	376.74	886
106.3887938	4422.499959	4422499959	388.08	961
105.5421749	4378.734765	4378734765	443.38	970
104.7606002	4338.369119	4338369119	399.5	887
104.2220811	4310.577453	4310577453	366.62	704
103.6460086	4280.866904	4280866904	329.86	689
102.9145244	4243.169928	4243169928	316.78	775
102.1673488	4204.697977	4204697977	290.79	760
101.365806	4163.464975	4163464975	279.59	776
100.3560877	4111.580267	4111580267	293.49	923
99.2197132	4053.264911	4053264911	281.04	994
98.85585148	4034.610237	4034610237	323.49	553
98.13117171	3997.482728	3997482728	385.29	842
97.18380969	3948.998954	3948998954	362.94	959
96.20595382	3899.017831	3899017831	353.06	971
95.25420012	3850.433626	3850433626	394.92	997
94.2911916	3801.338999	3801338999	351.43	963
93.77573456	3775.087638	3775087638	585.38	901
94.25430171	3799.459633	3799459633	550.94	247
93.53714754	3762.943214	3762943214	410.1	866
92.93358472	3732.239259	3732239259	455.24	841
92.24226282	3697.103367	3697103367	412.55	846
91.55487797	3662.20237	3662202370	396.98	828
90.99702344	3633.903906	3633903906	428.38	780
90.71011789	3619.35905	3619359050	401.07	577
91.10479182	3639.368892	3639368892	540.98	297
90.5848146	3613.008671	3613008671	479.05	800
89.8891198	3577.772522	3577772522	440.18	869
88.77395785	3521.368541	3521368541	335.97	1020
87.80910179	3472.645512	3472645512	340.35	926
86.81767121	3422.658015	3422658015	312.9	907
86.54092609	3408.718873	3408718873	311.19	476
86.38555504	3400.895866	3400895866	274.29	367
85.88637249	3375.775236	3375775236	241.27	540
85.83485972	3373.184105	3373184105	251.1	282
85.62904614	3362.833728	3362833728	209.78	332
85.28686688	3345.633339	3345633339	215.61	417
84.02994065	3282.5361	3282536100	198.86	944
83.40685069	3251.307445	3251307445	298.15	661
83.42364402	3252.148668	3252148668	321.84	312
83.70952938	3266.473199	3266473199	318.67	152
84.01305339	3281.689284	3281689284	290.5	114
84.35129544	3298.655183	3298655183	308.16	107
84.11441616	3286.772513	3286772513	318.96	470
84.48688539	3305.458998	3305458998	456.6	225
